time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1544.4751304517497,2.1859861e+03,8.0906057e+00,3.2440532e-04,228254,236.47325,1583.73306,1.8447484e+03,6.1892958e+00,8.1109875e+02,2.1912107e+00,2.1859861e+03,8.0906057e+00,0,,,,,236.47325,1.5867836e-03,1583.73306,2.2644333e-03,1.5323165e-02,-1.3222942e-01
1544.4765193407666,2.2024880e+03,8.0966368e+00,3.2440602e-04,228255,236.47292,1583.74282,1.8566541e+03,6.1939096e+00,8.0683124e+02,2.1889842e+00,2.2024880e+03,8.0966368e+00,0,,,,,236.47292,1.5780900e-03,1583.74282,2.2510537e-03,1.4996846e-02,-1.2787852e-01
1544.4779082297841,2.2079758e+03,8.1211805e+00,3.2440672e-04,228256,236.47798,1583.73499,1.8604958e+03,6.2126861e+00,8.1032031e+02,2.1933095e+00,2.2079758e+03,8.1211805e+00,0,,,,,236.47798,1.5803213e-03,1583.73499,2.2540153e-03,2.1047970e-02,-1.3001119e-01
1544.479297118801,2.1869382e+03,8.0864353e+00,3.2440742e-04,228257,236.47622,1583.73941,1.8425483e+03,6.1861057e+00,8.0898810e+02,2.1905799e+00,2.1869382e+03,8.0864353e+00,0,,,,,236.47622,1.5878439e-03,1583.73941,2.2626475e-03,1.4168835e-02,-1.2929463e-01
1544.4806860078463,2.1857576e+03,8.0779953e+00,3.2440815e-04,228258,236.47475,1583.73529,1.8418651e+03,6.1796489e+00,8.0562427e+02,2.1877348e+00,2.1857576e+03,8.0779953e+00,0,,,,,236.47475,1.5869259e-03,1583.73529,2.2661397e-03,1.6876537e-02,-1.3249291e-01
1544.4820748968632,2.2105188e+03,8.0997820e+00,3.2440884e-04,228259,236.47493,1583.74534,1.8609089e+03,6.1963153e+00,8.0417883e+02,2.1871357e+00,2.2105188e+03,8.0997820e+00,0,,,,,236.47493,1.5753964e-03,1583.74534,2.2451559e-03,1.6404033e-02,-1.2432570e-01
1544.48346378588,2.1967048e+03,8.0845108e+00,3.2440954e-04,228260,236.47219,1583.73775,1.8487096e+03,6.1846333e+00,8.0590466e+02,2.1873930e+00,2.1967048e+03,8.0845108e+00,0,,,,,236.47219,1.5823166e-03,1583.73775,2.2591210e-03,1.6931327e-02,-1.3073328e-01
1544.484852674897,2.1757307e+03,8.0650673e+00,3.2441024e-04,228261,236.47423,1583.73395,1.8325043e+03,6.1697593e+00,8.0481360e+02,2.1857977e+00,2.1757307e+03,8.0650673e+00,0,,,,,236.47423,1.5922864e-03,1583.73395,2.2721838e-03,2.0008516e-02,-1.3291763e-01
1544.4862415639136,2.2044790e+03,8.1010666e+00,3.2441094e-04,228262,236.47570,1583.74240,1.8540343e+03,6.1972980e+00,8.0418518e+02,2.1939654e+00,2.2044790e+03,8.1010666e+00,0,,,,,236.47570,1.5808784e-03,1583.74240,2.2558314e-03,1.5316681e-02,-1.2580298e-01
1544.4876304529305,2.1986387e+03,8.0836430e+00,3.2441164e-04,228263,236.47097,1583.73492,1.8481744e+03,6.1839700e+00,8.0373456e+02,2.1850743e+00,2.1986387e+03,8.0836430e+00,0,,,,,236.47097,1.5827050e-03,1583.73492,2.2559827e-03,1.5640732e-02,-1.3120568e-01
