time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1410.9299744694338,1.8503867e+04,1.6797247e+01,9.4690267e-04,132101,270.23069,484.70077,1.7369707e+04,1.5449940e+01,1.2636879e+03,4.4158044e+00,1.8503867e+04,1.6797247e+01,0,,,,,270.23069,6.3426705e-04,484.70077,7.6223607e-04,1.3996542e-01,-5.3921435e-02
1410.9313633597928,1.8489268e+04,1.6796352e+01,9.4690471e-04,132102,270.22908,484.70257,1.7357080e+04,1.5449117e+01,1.2734620e+03,4.4166107e+00,1.8489268e+04,1.6796352e+01,0,,,,,270.22908,6.3452532e-04,484.70257,7.6261500e-04,1.3812956e-01,-5.2632660e-02
1410.932752250152,1.8456035e+04,1.6785164e+01,9.4690674e-04,132103,270.23519,484.70499,1.7318254e+04,1.5438826e+01,1.2690049e+03,4.4157419e+00,1.8456035e+04,1.6785164e+01,0,,,,,270.23519,6.3717068e-04,484.70499,7.6539390e-04,1.4406222e-01,-4.9239133e-02
1410.9341411404541,1.8515250e+04,1.6798517e+01,9.4690872e-04,132104,270.22970,484.70725,1.7379764e+04,1.5451108e+01,1.2673474e+03,4.4074340e+00,1.8515250e+04,1.6798517e+01,0,,,,,270.22970,6.3388090e-04,484.70725,7.6230668e-04,1.3917674e-01,-4.7545929e-02
1410.9355300308146,1.8498992e+04,1.6795910e+01,9.4691076e-04,132105,270.22359,484.69413,1.7356611e+04,1.5448709e+01,1.2646121e+03,4.4184260e+00,1.8498992e+04,1.6795910e+01,0,,,,,270.22359,6.3437736e-04,484.69413,7.6372962e-04,1.3117200e-01,-6.1635219e-02
1410.9369189211736,1.8516635e+04,1.6798559e+01,9.4691280e-04,132106,270.22787,484.70116,1.7384932e+04,1.5451147e+01,1.2577396e+03,4.4052334e+00,1.8516635e+04,1.6798559e+01,0,,,,,270.22787,6.3327723e-04,484.70116,7.6131325e-04,1.3833384e-01,-5.3665929e-02
1410.9383078115334,1.8481709e+04,1.6790442e+01,9.4691484e-04,132107,270.22978,484.70215,1.7350869e+04,1.5443681e+01,1.2590250e+03,4.4243979e+00,1.8481709e+04,1.6790442e+01,0,,,,,270.22978,6.3432736e-04,484.70215,7.6361845e-04,1.3960974e-01,-5.4115068e-02
1410.9396967018931,1.8477055e+04,1.6799187e+01,9.4691687e-04,132108,270.23107,484.70727,1.7348928e+04,1.5451724e+01,1.2607499e+03,4.4238296e+00,1.8477055e+04,1.6799187e+01,0,,,,,270.23107,6.3470920e-04,484.70727,7.6326990e-04,1.3957192e-01,-4.6055343e-02
1410.9410855922522,1.8507473e+04,1.6807510e+01,9.4691891e-04,132109,270.23131,484.70270,1.7374656e+04,1.5459380e+01,1.2644496e+03,4.4160233e+00,1.8507473e+04,1.6807510e+01,0,,,,,270.23131,6.3401996e-04,484.70270,7.6278020e-04,1.4171991e-01,-5.2577905e-02
1410.942474482612,1.8464836e+04,1.6775362e+01,9.4692095e-04,132110,270.22710,484.69891,1.7327336e+04,1.5429810e+01,1.2645720e+03,4.4078479e+00,1.8464836e+04,1.6775362e+01,0,,,,,270.22710,6.3544820e-04,484.69891,7.6426048e-04,1.3545680e-01,-5.5837095e-02
